Energy,s,py,pz,px,dxy,dyz,dz2,dxz,dx2,fy3x2,fxyz,fyz2,fz3,fxz2,fzx2,fx3,tot
-46.65907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-46.63507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-46.61107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-46.58707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-46.56407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-46.54007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-46.51607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-46.49207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-46.46807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-46.44407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-46.42007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-46.39607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-46.37207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-46.34807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-46.32407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-46.30007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-46.27607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-46.25207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-46.22807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-46.20407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-46.18007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-46.15607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-46.13207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-46.10807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-46.08407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-46.06007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-46.03607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-46.01207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-45.98807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-45.96407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-45.94007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-45.91607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-45.89207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-45.86807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-45.84407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-45.82007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
